Customer ID,Name,Age,Gender,Marital Status,Employment Status,Highest Level of Education,Currently Studying?,Dependents,Annual Income,Current Loans,Interest Rate (%),Credit History,Asset Details ($),Transaction History (Monthly),Credit Score,Address,Vehicle Ownership,Repayment Amount ($),Existing Dues ($),Mortgage,Debt-to-Income Ratio (%),Loan Eligibility,Credit Card Ownership,Asset Details,Loan Count,Loan Tenure (Months),Monthly EMI ($)
4ca203da-65d3-4044-aa23-2bc99dffbe0f,Michael Martinez,28,Female,Single,Self-employed,Grad,Yes,1,97678,0,7.161743037,Good,365643,65,655,"Houston, IL",No,1150.714463,16138,No,8.88,Yes,Yes,Scooter,1,280,8.467871507
0025a3d5-c832-4f13-a8b4-eb24c01b7920,Robert Williams,20,Male,Single,Retired,Grad,Yes,2,42672,0,12.39789814,No History,96261,45,653,"Phoenix, AZ",No,1794.422969,33947,Yes,35.35,Yes,No,House,1,192,21.53149079
bb3bf60a-8917-4c2f-8612-ead3322df9aa,Katie Miller,58,Female,Single,Employed,Senior Secondary,Yes,3,78342,0,6.072781037,No History,128994,59,529,"Phoenix, AZ",Yes,7983.216421,28099,Yes,75.38,No,Yes,House,1,64,146.3390255
02b3107b-e0a2-4614-b4f9-b07424b28e0a,Alex Williams,31,Female,Married,Unemployed,Undergrad,No,1,158402,2,12.83152112,Good,280395,16,300,"New York, CA",Yes,4262.817305,31021,No,28.3,No,Yes,Car,1,304,47.45277557
03eefbb8-613e-4e04-aa73-fdb61a898ce9,Chris Brown,60,Female,Single,Self-employed,Undergrad,No,0,156866,2,5.29035182,Fair,216394,39,795,"Houston, AZ",Yes,1792.952071,25173,No,20.16,Yes,No,Car,1,202,13.42553419
49069030-4ddf-4915-8fa8-5b0cd9a7cdbd,Robert Williams,40,Female,Married,Employed,Grad,No,3,59283,1,15.92917163,No History,354612,60,740,"Chicago, CA",Yes,3031.074301,11390,No,36.84,Yes,Yes,Car,1,205,43.12394983
40ee3658-ae80-45fd-9286-470b36cc381d,John Davis,21,Male,Single,Self-employed,Grad,Yes,2,22789,1,12.31954529,No History,132871,28,329,"New York, AZ",No,263.2458407,6538,No,8.48,No,Yes,Scooter,1,51,6.656201395
a0d0bcbe-1ecf-4cda-a7de-5bb759ee9b85,Alex Rodriguez,54,Male,Single,Self-employed,Undergrad,No,1,154066,1,11.88409491,Fair,247235,68,393,"Houston, AZ",No,5347.060693,45011,Yes,29.31,No,Yes,House,1,89,90.67504943
c2509e86-20b9-40c6-b3e4-fb66f1fe0e6b,Robert Johnson,65,Other,Single,Self-employed,Undergrad,No,1,166517,0,7.942872406,Fair,137722,63,635,"Phoenix, CA",Yes,3749.549674,18867,Yes,23.43,Yes,No,House,2,200,33.87183553
6b831521-2bef-46d2-bab4-6ca88036bf33,Jane Davis,59,Other,Single,Self-employed,Grad,No,4,117864,2,10.41894734,Bad,104243,88,780,"Houston, TX",No,5149.740652,7936,No,38.09,Yes,Yes,Scooter,1,106,74.51682773
3f5d6795-a1de-4c7d-a8d7-d6b6de6cbcae,David Garcia,22,Other,Single,Unemployed,Grad,Yes,3,50904,0,7.728041486,Bad,69046,58,810,"New York, AZ",No,6167.438548,40702,No,96.32,No,No,Scooter,1,36,192.4922776
fbf5a24b-170f-496d-ba07-f0dcc3d743de,Katie Rodriguez,49,Female,Single,Self-employed,Senior Secondary,Yes,1,143270,2,16.03085151,No History,85788,25,514,"Houston, CA",Yes,3851.509931,38564,Yes,24.21,No,No,House,1,114,65.98855745
68920733-255c-435c-8997-d910e747d87c,David Miller,53,Female,Married,Employed,Grad,Yes,0,106388,0,7.985379491,Fair,182984,78,598,"New York, CA",Yes,3482.438583,26435,Yes,35.35,No,No,House,2,313,26.49760116
5fdeb012-23a5-4e31-beb0-17485935db5d,Michael Davis,52,Other,Single,Retired,Grad,Yes,1,104145,2,14.25129991,Good,104011,24,532,"New York, TX",No,4725.360637,9316,No,29.54,No,Yes,Scooter,1,170,64.83117218
3346c3d4-7bb0-422a-bb3a-2acc4532f3a7,Alex Smith,38,Other,Married,Employed,Undergrad,No,3,121397,1,9.194112516,Bad,239322,73,656,"Los Angeles, CA",No,805.0941287,13323,No,7.3,Yes,No,Scooter,1,219,7.596217455
66c0c280-13c5-4a93-bafb-f294ee967f29,David Jones,29,Other,Single,Unemployed,Grad,No,4,26060,1,14.85473294,Good,349608,50,464,"Chicago, CA",No,5599.408894,12918,Yes,161.67,No,No,House,1,358,70.17247006
bda474bb-03f4-4430-845e-ff9a57217e86,Alex Davis,39,Male,Married,Unemployed,Grad,Yes,0,123226,2,13.10682438,Bad,338085,66,415,"Chicago, NY",Yes,4574.572089,3006,No,43.43,No,Yes,Car,1,105,73.43680863
0954cee8-d03f-4ee8-89c9-ede72693c22f,Robert Davis,42,Male,Single,Retired,Grad,Yes,2,107561,1,11.35157947,No History,257751,71,474,"Chicago, IL",No,2081.221429,32369,No,26.76,No,No,Scooter,1,335,20.56529707
e7e19268-ede5-436e-abe8-284bbf8acbb0,Jane Williams,40,Other,Single,Self-employed,Undergrad,No,1,138948,1,15.0950125,No History,376501,61,735,"Phoenix, IL",Yes,2902.586372,38706,Yes,18.78,Yes,No,House,1,50,78.56167683
578a6f15-349f-4e72-bce9-d81a3247b299,Sarah Brown,19,Other,Single,Retired,Senior Secondary,Yes,3,60582,1,11.23583107,Fair,420749,19,794,"Houston, TX",Yes,1772.230557,27299,Yes,27.47,Yes,Yes,House,1,347,17.27440043
3cf84d5d-aadb-4765-8a55-7c65fce14314,Michael Williams,19,Other,Married,Employed,Undergrad,Yes,0,80730,2,17.32055904,Bad,488589,77,368,"Houston, TX",No,2534.639164,9247,Yes,26.49,No,Yes,House,1,175,39.82817537
5b658689-42eb-4f6e-94e5-3778bc07c39d,Michael Davis,52,Female,Single,Employed,Grad,No,1,156907,0,15.94397687,Good,148908,67,523,"Los Angeles, IL",Yes,2889.535079,34853,No,17.86,No,Yes,Car,1,352,38.76433035
b4061761-57c2-47c8-aab6-e24420ca4733,Sarah Jones,27,Female,Single,Unemployed,Senior Secondary,Yes,4,160559,0,13.10958492,No History,170589,50,476,"Los Angeles, AZ",Yes,4280.431639,41413,No,24.89,No,Yes,Car,1,333,48.05152542
4bcd5c0d-4cf7-4571-8f5f-e316fc4ea500,Katie Davis,64,Female,Married,Employed,Grad,Yes,1,136909,2,18.15591024,Bad,359431,48,455,"Houston, IL",Yes,7944.440245,8027,No,39.84,No,Yes,Car,2,66,191.146585
dff225cb-728b-44d9-9716-eaf26c1f824c,Michael Brown,36,Male,Single,Retired,Grad,Yes,2,86135,0,17.43292732,Good,423593,53,576,"Chicago, TX",No,3509.296713,27670,No,67.48,No,No,Scooter,1,83,73.0459402
bcb366e0-d031-4d13-883c-c1912d4b5635,Michael Smith,19,Female,Single,Self-employed,Senior Secondary,Yes,4,159390,0,12.97759092,No History,408847,31,655,"New York, CA",No,7290.577527,15145,Yes,30.54,Yes,Yes,House,1,53,181.4487734
dd390932-5a0c-4de7-a880-c18cc8a42c9a,Jane Smith,61,Male,Single,Employed,Undergrad,Yes,1,41523,1,6.026715406,Good,379136,79,520,"Chicago, AZ",No,2513.321317,5987,Yes,99.3,No,No,House,2,337,15.48475714
db62a6dd-f739-4b79-ac81-1a3ca1e4403d,Robert Miller,59,Male,Single,Employed,Undergrad,Yes,0,132144,1,13.48994528,No History,243289,92,683,"Los Angeles, AZ",Yes,1586.381295,33285,No,11.91,Yes,No,Car,1,143,22.3528605
dd390932-5a0c-4de7-a880-c18cc8a42c9a,Sarah Smith,34,Male,Single,Employed,Grad,Yes,3,89134,1,10.32885484,No History,149430,66,735,"Los Angeles, NY",No,2188.21091,21223,Yes,25.57,Yes,Yes,House,1,32,78.5227699
71ba49d9-7205-4a37-82f1-c3e0f4e44442,Chris Williams,54,Other,Single,Retired,Undergrad,Yes,2,22516,1,13.10169414,Bad,71921,42,318,"New York, CA",No,693.5981258,24594,Yes,41.57,No,Yes,House,2,12,61.98339237
674d61c0-60aa-4498-9331-e439272acdba,Katie Johnson,22,Male,Married,Unemployed,Undergrad,Yes,2,150873,0,14.70695691,Good,493601,67,711,"Houston, TX",No,119.237777,49976,No,0.99,Yes,Yes,Scooter,1,177,1.652698232
c63037a1-450c-4be9-b74e-57e1a0b13c66,David Jones,58,Other,Single,Retired,Grad,Yes,4,37139,0,14.67257862,Bad,87580,99,786,"Los Angeles, IL",Yes,7364.751379,49640,No,146.21,No,Yes,Car,1,71,155.7828302
6c6ba5f3-0eca-47fb-88fc-3a7dfe16654d,Robert Johnson,44,Male,Single,Employed,Grad,No,2,120578,1,15.10286065,Fair,283462,48,470,"Los Angeles, CA",No,346.7423743,40458,Yes,2.83,No,Yes,House,1,87,6.580693057
0611a6e8-623c-4a45-a5a7-b24b1e5b8acc,Sarah Jones,29,Male,Single,Self-employed,Undergrad,No,3,95140,1,15.18902938,Fair,138764,65,320,"Phoenix, AZ",Yes,2048.065698,30191,No,19.15,No,Yes,Car,2,102,35.8660065
3425d253-8280-4ac6-b10a-29cfdf4b341d,Sarah Rodriguez,60,Other,Single,Self-employed,Undergrad,Yes,3,174660,2,6.639221281,No History,282042,35,411,"Chicago, NY",Yes,6848.657339,49734,Yes,28.31,No,Yes,House,1,218,54.15787305
9beea5a1-ef24-491b-8d3d-552b8e668272,Robert Brown,43,Female,Single,Retired,Senior Secondary,No,3,108596,1,7.875684957,Bad,399667,89,749,"New York, IL",No,5001.674047,17683,Yes,36.65,Yes,No,House,1,99,68.86006397
dbcd3d16-15ff-441d-967a-8a2506b446f6,Jane Miller,65,Female,Married,Unemployed,Undergrad,No,3,180662,0,14.45811507,Good,390543,33,409,"Los Angeles, TX",No,3862.367872,10054,No,14.52,No,No,Scooter,1,93,69.28080975
